מספר מונה,תאריך התחלת הקריאה,"צריכה מהרשת (קוט""ש)","הזרמה לרשת (קוט""ש)"
12345654321,2024-08-01T19:15:00,0.587,0
12345654321,2024-08-01T19:30:00,0.521,0
12345654321,2024-08-01T19:30:00,0.992,0
12345654321,2024-08-01T19:44:59.999000,0.471,0
12345654321,2024-08-01T20:00:00,0.461,0
12345654321,2024-08-01T20:00:00,0.934,0
12345654321,2024-08-01T20:15:00,0.473,0
12345654321,2024-08-01T20:29:59.999000,0.852,0
12345654321,2024-08-01T20:29:59.999000,2.469,0
12345654321,2024-08-01T20:45:00,1.617,0
12345654321,2024-08-01T21:00:00,1.497,0
12345654321,2024-08-01T21:00:00,2.983,0
12345654321,2024-08-01T21:14:59.999000,1.486,0
12345654321,2024-08-01T21:30:00,1.34,0
12345654321,2024-08-01T21:30:00,2.588,0
12345654321,2024-08-01T21:45:00,1.248,0
12345654321,2024-08-01T21:59:59.999000,1.11,0
12345654321,2024-08-01T21:59:59.999000,2.122,0
12345654321,2024-08-01T22:15:00,1.012,0
12345654321,2024-08-01T22:30:00,0.939,0
12345654321,2024-08-01T22:30:00,1.687,0
12345654321,2024-08-01T22:44:59.999000,0.748,0
12345654321,2024-08-01T23:00:00,0.769,0
12345654321,2024-08-01T23:00:00,1.519,0
12345654321,2024-08-01T23:15:00,0.75,0
12345654321,2024-08-01T23:29:59.999000,0.634,0
12345654321,2024-08-01T23:29:59.999000,1.178,0
12345654321,2024-08-01T23:45:00,0.544,0
